,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
165,22,17,11,40,90,58,Montrezl,46,24,39,1,Harrell,379,25,48,140,PF,11,HOU,1,0,17,89,58
166,32,118,13,120,374,167,Devin,140,101,64,0,Harris,1280,18,124,487,PG,60,DAL,158,52,66,216,115
167,21,147,18,166,765,359,Gary,133,109,76,76,Harris,2439,54,143,932,SG,97,DEN,297,105,98,468,254
168,24,2,0,3,4,1,Joe,0,0,5,0,Harris,15,0,1,3,SG,0,CLE,4,1,1,0,0
169,21,2,0,11,19,5,Aaron,12,5,21,0,Harrison,93,4,10,18,SG,6,CHO,10,3,4,9,2
170,35,14,2,65,61,23,Udonis,16,12,37,0,Haslem,260,10,25,59,PF,5,MIA,9,1,5,52,22
171,27,109,27,193,306,124,Spencer,65,54,57,6,Hawes,1035,51,111,340,PF,22,CHO,102,38,58,204,86
172,32,2,0,8,2,1,Chuck,2,2,2,0,Hayes,24,0,6,4,C,0,HOU,0,0,3,2,1
173,25,296,27,336,1202,521,Gordon,477,393,80,80,Hayward,2893,61,183,1578,SF,95,UTA,410,143,202,792,378
174,28,75,19,181,529,232,Gerald,146,112,72,0,Henderson,1431,30,87,624,SG,39,POR,136,48,68,393,184
175,25,54,109,134,291,164,John,117,69,57,1,Henson,960,87,131,397,C,18,MIL,1,0,64,290,164
176,20,109,17,148,418,181,Mario,54,49,79,9,Hezonja,1413,28,124,478,SF,39,ORL,192,67,97,226,114
177,29,95,110,266,411,182,Roy,145,117,81,81,Hibbert,1878,132,252,481,C,32,LAL,2,0,76,409,182
178,33,97,26,207,384,209,Nene,185,107,57,11,Hilario,1094,52,156,525,PF,54,WAS,3,0,76,381,209
179,29,259,17,240,739,326,George,150,114,74,73,Hill,2524,58,149,894,PG,83,IND,314,128,101,425,198
