,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
186,Atlanta Hawks,87,2013-11-24 00:30:00,Boston Celtics,94
187,Denver Nuggets,102,2013-11-24 02:00:00,Dallas Mavericks,100
188,Golden State Warriors,101,2013-11-24 03:30:00,Portland Trail Blazers,113
189,Houston Rockets,112,2013-11-24 01:00:00,Minnesota Timberwolves,101
190,Indiana Pacers,106,2013-11-24 00:00:00,Philadelphia 76ers,98
191,Los Angeles Clippers,103,2013-11-23 20:30:00,Sacramento Kings,102
192,Miami Heat,101,2013-11-24 00:30:00,Orlando Magic,99
193,Milwaukee Bucks,72,2013-11-24 01:30:00,Charlotte Bobcats,96
194,San Antonio Spurs,126,2013-11-24 01:30:00,Cleveland Cavaliers,96
195,Washington Wizards,98,2013-11-24 00:00:00,New York Knicks,89
196,Brooklyn Nets,97,2013-11-24 19:00:00,Detroit Pistons,109
197,Los Angeles Clippers,121,2013-11-24 20:30:00,Chicago Bulls,82
198,Los Angeles Lakers,100,2013-11-25 02:30:00,Sacramento Kings,86
199,Oklahoma City Thunder,95,2013-11-25 00:00:00,Utah Jazz,73
200,Orlando Magic,96,2013-11-24 23:00:00,Phoenix Suns,104
201,Charlotte Bobcats,86,2013-11-26 00:00:00,Boston Celtics,96
202,Dallas Mavericks,96,2013-11-26 01:30:00,Denver Nuggets,110
203,Detroit Pistons,113,2013-11-26 00:30:00,Milwaukee Bucks,94
204,Indiana Pacers,98,2013-11-26 00:00:00,Minnesota Timberwolves,84
205,Memphis Grizzlies,86,2013-11-26 01:00:00,Houston Rockets,93
206,Miami Heat,107,2013-11-26 00:30:00,Phoenix Suns,92
207,Portland Trail Blazers,102,2013-11-26 03:00:00,New York Knicks,91
208,San Antonio Spurs,112,2013-11-26 01:30:00,New Orleans Pelicans,93
209,Utah Jazz,89,2013-11-26 02:00:00,Chicago Bulls,83
210,Atlanta Hawks,92,2013-11-27 00:30:00,Orlando Magic,109
211,New Orleans Pelicans,101,2013-11-27 01:00:00,Golden State Warriors,102
212,Toronto Raptors,100,2013-11-27 00:00:00,Brooklyn Nets,102
213,Washington Wizards,116,2013-11-27 00:00:00,Los Angeles Lakers,111
214,Boston Celtics,93,2013-11-28 00:30:00,Memphis Grizzlies,100
215,Brooklyn Nets,94,2013-11-28 00:30:00,Los Angeles Lakers,99
216,Charlotte Bobcats,74,2013-11-28 00:00:00,Indiana Pacers,99
217,Cleveland Cavaliers,84,2013-11-28 00:30:00,Miami Heat,95
218,Dallas Mavericks,103,2013-11-28 01:30:00,Golden State Warriors,99
219,Detroit Pistons,79,2013-11-28 00:30:00,Chicago Bulls,99
220,Houston Rockets,113,2013-11-28 01:00:00,Atlanta Hawks,84
221,Los Angeles Clippers,93,2013-11-28 03:30:00,New York Knicks,80
