,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
233,Toronto Raptors,102,2014-11-29 00:30:00,Dallas Mavericks,106
234,Atlanta Hawks,105,2014-11-30 00:30:00,Charlotte Hornets,75
235,Cleveland Cavaliers,109,2014-11-30 00:30:00,Indiana Pacers,97
236,Milwaukee Bucks,103,2014-11-30 02:00:00,Houston Rockets,117
237,Philadelphia 76ers,103,2014-11-30 00:00:00,Dallas Mavericks,110
238,Utah Jazz,96,2014-11-30 02:00:00,Los Angeles Clippers,112
239,Washington Wizards,83,2014-11-30 00:00:00,New Orleans Pelicans,80
240,Boston Celtics,89,2014-11-30 18:00:00,San Antonio Spurs,111
241,Brooklyn Nets,84,2014-11-30 20:00:00,Chicago Bulls,102
242,Detroit Pistons,93,2014-11-30 20:30:00,Golden State Warriors,104
243,Los Angeles Lakers,129,2014-12-01 02:30:00,Toronto Raptors,122
244,New York Knicks,79,2014-12-01 00:30:00,Miami Heat,86
245,Phoenix Suns,90,2014-12-01 01:00:00,Orlando Magic,93
246,Portland Trail Blazers,107,2014-12-01 02:00:00,Minnesota Timberwolves,93
247,Sacramento Kings,85,2014-11-30 23:00:00,Memphis Grizzlies,97
248,Los Angeles Clippers,127,2014-12-02 03:30:00,Minnesota Timberwolves,101
249,Philadelphia 76ers,103,2014-12-02 00:00:00,San Antonio Spurs,109
250,Utah Jazz,101,2014-12-02 02:00:00,Denver Nuggets,103
251,Washington Wizards,107,2014-12-02 00:00:00,Miami Heat,86
252,Atlanta Hawks,109,2014-12-03 00:30:00,Boston Celtics,105
253,Chicago Bulls,129,2014-12-03 01:00:00,Dallas Mavericks,132
254,Cleveland Cavaliers,111,2014-12-03 00:00:00,Milwaukee Bucks,108
255,Denver Nuggets,103,2014-12-03 02:00:00,Portland Trail Blazers,105
256,Detroit Pistons,96,2014-12-03 00:30:00,Los Angeles Lakers,106
257,Golden State Warriors,98,2014-12-03 03:30:00,Orlando Magic,97
258,New Orleans Pelicans,112,2014-12-03 01:00:00,Oklahoma City Thunder,104
259,New York Knicks,93,2014-12-03 00:30:00,Brooklyn Nets,98
260,Phoenix Suns,116,2014-12-03 02:00:00,Indiana Pacers,99
261,Sacramento Kings,109,2014-12-03 03:00:00,Toronto Raptors,117
262,Boston Celtics,109,2014-12-04 00:30:00,Detroit Pistons,102
263,Brooklyn Nets,95,2014-12-04 00:30:00,San Antonio Spurs,93
264,Charlotte Hornets,95,2014-12-04 00:00:00,Chicago Bulls,102
265,Houston Rockets,105,2014-12-04 01:00:00,Memphis Grizzlies,96
266,Los Angeles Clippers,114,2014-12-04 03:30:00,Orlando Magic,86
267,Miami Heat,102,2014-12-04 00:30:00,Atlanta Hawks,112
268,Milwaukee Bucks,105,2014-12-04 01:00:00,Dallas Mavericks,107
269,Minnesota Timberwolves,77,2014-12-04 01:00:00,Philadelphia 76ers,85
270,Utah Jazz,104,2014-12-04 02:00:00,Toronto Raptors,123
271,Washington Wizards,111,2014-12-04 00:00:00,Los Angeles Lakers,95
272,Golden State Warriors,112,2014-12-05 03:30:00,New Orleans Pelicans,85
273,New York Knicks,87,2014-12-05 01:00:00,Cleveland Cavaliers,90
274,Portland Trail Blazers,88,2014-12-05 03:00:00,Indiana Pacers,82
275,Boston Celtics,113,2014-12-06 00:30:00,Los Angeles Lakers,96
276,Brooklyn Nets,75,2014-12-06 00:30:00,Atlanta Hawks,98
277,Charlotte Hornets,103,2014-12-06 00:00:00,New York Knicks,102
278,Dallas Mavericks,106,2014-12-06 01:30:00,Phoenix Suns,118
279,Memphis Grizzlies,101,2014-12-06 01:00:00,San Antonio Spurs,107
280,Milwaukee Bucks,109,2014-12-06 01:30:00,Miami Heat,85
281,Minnesota Timberwolves,112,2014-12-06 01:00:00,Houston Rockets,114
282,Philadelphia 76ers,91,2014-12-06 00:00:00,Oklahoma City Thunder,103
283,Sacramento Kings,102,2014-12-06 03:00:00,Indiana Pacers,101
284,Toronto Raptors,91,2014-12-06 00:30:00,Cleveland Cavaliers,105
285,Utah Jazz,93,2014-12-06 02:00:00,Orlando Magic,98
286,Washington Wizards,119,2014-12-06 00:00:00,Denver Nuggets,89
287,Chicago Bulls,102,2014-12-07 01:00:00,Golden State Warriors,112
288,Detroit Pistons,101,2014-12-07 00:30:00,Philadelphia 76ers,108
289,Houston Rockets,100,2014-12-07 01:00:00,Phoenix Suns,95
290,Los Angeles Clippers,120,2014-12-07 03:30:00,New Orleans Pelicans,100
291,Sacramento Kings,96,2014-12-07 03:00:00,Orlando Magic,105
292,San Antonio Spurs,123,2014-12-07 01:30:00,Minnesota Timberwolves,101
293,Atlanta Hawks,96,2014-12-07 20:30:00,Denver Nuggets,84
294,Boston Celtics,101,2014-12-07 18:00:00,Washington Wizards,93
295,Dallas Mavericks,125,2014-12-08 00:30:00,Milwaukee Bucks,102
296,Detroit Pistons,94,2014-12-07 23:00:00,Oklahoma City Thunder,96
297,Los Angeles Lakers,87,2014-12-08 02:30:00,New Orleans Pelicans,104
298,Memphis Grizzlies,103,2014-12-07 23:00:00,Miami Heat,87
299,New York Knicks,99,2014-12-08 00:30:00,Portland Trail Blazers,103
300,Brooklyn Nets,88,2014-12-09 00:30:00,Cleveland Cavaliers,110
301,Indiana Pacers,92,2014-12-09 00:00:00,Atlanta Hawks,108
302,Los Angeles Clippers,121,2014-12-09 03:30:00,Phoenix Suns,120
303,Minnesota Timberwolves,86,2014-12-09 01:00:00,Golden State Warriors,102
304,Sacramento Kings,101,2014-12-09 03:00:00,Utah Jazz,92
305,Toronto Raptors,112,2014-12-09 00:30:00,Denver Nuggets,107
306,Washington Wizards,133,2014-12-09 00:00:00,Boston Celtics,132
307,Cleveland Cavaliers,105,2014-12-10 00:00:00,Toronto Raptors,101
308,Detroit Pistons,86,2014-12-10 00:30:00,Portland Trail Blazers,98
309,Los Angeles Lakers,98,2014-12-10 03:30:00,Sacramento Kings,95
310,Memphis Grizzlies,114,2014-12-10 01:00:00,Dallas Mavericks,105
311,New Orleans Pelicans,104,2014-12-10 01:00:00,New York Knicks,93
312,Oklahoma City Thunder,114,2014-12-10 01:00:00,Milwaukee Bucks,101
313,Phoenix Suns,97,2014-12-10 02:00:00,Miami Heat,103
314,Utah Jazz,100,2014-12-10 02:00:00,San Antonio Spurs,96
315,Atlanta Hawks,95,2014-12-11 00:30:00,Philadelphia 76ers,79
316,Chicago Bulls,105,2014-12-11 01:00:00,Brooklyn Nets,80
317,Charlotte Hornets,96,2014-12-11 00:00:00,Boston Celtics,87
318,Dallas Mavericks,112,2014-12-11 01:00:00,New Orleans Pelicans,107
319,Denver Nuggets,102,2014-12-11 03:30:00,Miami Heat,82
320,Golden State Warriors,105,2014-12-11 03:30:00,Houston Rockets,93
321,Indiana Pacers,96,2014-12-11 00:00:00,Los Angeles Clippers,103
322,Minnesota Timberwolves,90,2014-12-11 01:00:00,Portland Trail Blazers,82
323,Orlando Magic,89,2014-12-11 00:00:00,Washington Wizards,91
324,San Antonio Spurs,109,2014-12-11 01:30:00,New York Knicks,95
325,Oklahoma City Thunder,103,2014-12-12 01:00:00,Cleveland Cavaliers,94
326,Sacramento Kings,109,2014-12-12 03:30:00,Houston Rockets,113
327,Atlanta Hawks,87,2014-12-13 00:30:00,Orlando Magic,81
328,Boston Celtics,95,2014-12-13 00:30:00,New York Knicks,101
329,Brooklyn Nets,88,2014-12-13 00:30:00,Philadelphia 76ers,70
