,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
90,27,26,22,148,142,75,Ed,81,50,46,12,Davis,789,96,137,200,PF,15,POR,0,0,37,142,75
91,27,44,61,367,259,161,Dewayne,93,65,76,37,Dedmon,1330,129,180,387,C,37,SAS,0,0,61,259,161
92,22,76,21,190,429,203,Sam,68,38,77,2,Dekker,1419,94,83,504,SF,38,HOU,187,60,41,242,143
93,27,193,1,113,388,145,Malcolm,93,75,73,2,Delaney,1248,10,112,391,PG,39,ATL,110,26,95,278,119
94,26,357,0,123,534,208,Matthew,96,82,76,54,Dellavedova,1986,24,153,577,PG,53,MIL,215,79,133,319,129
95,31,74,20,232,424,164,Luol,63,46,56,49,Deng,1486,63,61,425,SF,48,LAL,165,51,43,259,113
96,27,290,13,316,1545,721,DeMar,647,545,74,74,DeRozan,2620,70,134,2020,SG,78,TOR,124,33,180,1421,688
97,20,4,7,50,76,36,Cheick,21,15,17,0,Diallo,199,23,17,87,PF,4,NOP,0,0,7,76,36
98,34,170,9,112,327,146,Boris,35,26,73,33,Diaw,1283,46,83,338,PF,18,UTA,81,20,87,246,126
99,27,158,95,459,661,332,Gorgui,167,136,82,82,Dieng,2653,188,254,816,PF,88,MIN,43,16,107,618,316
100,23,185,23,137,302,134,Spencer,159,126,59,18,Dinwiddie,1334,27,119,432,PG,44,BRK,101,38,66,201,96
101,30,56,5,48,117,43,Toney,29,24,24,0,Douglas,394,13,50,117,PG,18,MEM,42,7,21,75,36
102,30,423,13,217,1124,534,Goran,377,298,73,73,Dragic,2459,62,199,1483,PG,89,MIA,289,117,212,835,417
103,23,90,89,770,911,483,Andre,355,137,81,81,Drummond,2409,345,237,1105,C,124,DET,7,2,152,904,481
104,31,121,16,194,346,157,Jared,65,43,64,7,Dudley,1362,31,154,434,PF,42,PHO,203,77,73,143,80
105,22,188,36,142,313,118,Kris,59,36,78,7,Dunn,1333,24,178,293,PG,78,MIN,73,21,89,240,97
106,28,300,99,474,1026,551,Kevin,384,336,62,62,Durant,2070,39,117,1555,SF,66,GSW,312,117,138,714,434
107,25,0,0,6,19,6,Jarell,9,8,5,0,Eddie,62,1,1,24,SF,1,PHO,16,4,1,3,2
108,20,7,1,33,64,23,Henry,8,4,19,2,Ellenson,146,8,6,60,PF,1,DET,35,10,14,29,13
109,29,70,4,114,555,231,Wayne,43,37,62,13,Ellington,1500,18,70,648,SG,35,MIA,394,149,30,161,82
110,31,236,27,185,557,247,Monta,128,93,74,33,Ellis,1998,19,149,630,SG,78,IND,135,43,135,422,204
111,22,66,76,182,429,200,Joel,244,191,31,31,Embiid,786,61,112,627,C,27,PHI,98,36,117,331,164
112,26,64,19,190,321,146,James,110,86,64,28,Ennis,1501,69,165,429,SF,46,MEM,137,51,59,184,95
113,21,111,12,102,363,155,Dante,73,58,66,26,Exum,1228,30,146,412,PG,21,UTA,149,44,80,214,111
114,27,55,40,279,416,228,Kenneth,189,131,61,34,Faried,1296,183,124,587,PF,43,DEN,6,0,59,410,228
115,30,9,0,2,12,4,Jordan,0,0,2,0,Farmar,35,1,1,12,PG,2,SAC,9,4,3,3,0
116,25,56,40,213,417,203,Derrick,109,67,50,39,Favors,1186,92,103,476,PF,45,UTA,10,3,60,407,200
117,21,58,7,38,158,62,Kay,49,35,42,0,Felder,386,3,38,166,PG,18,CLE,22,7,30,136,55
118,24,40,17,187,221,128,Cristiano,93,60,66,0,Felicio,1040,124,110,316,C,25,CHI,0,0,33,221,128
119,32,191,22,185,514,221,Raymond,64,50,80,11,Felton,1700,33,125,538,PG,66,LAC,144,46,83,370,175
120,23,67,25,167,333,124,Dorian,61,46,81,35,Finney-Smith,1642,55,125,350,PF,52,DAL,191,56,45,142,68
121,23,23,0,21,99,36,Bryn,6,5,36,0,Forbes,285,2,20,94,SG,1,SAS,53,17,11,46,19
122,24,202,4,165,930,408,Evan,277,223,68,66,Fournier,2234,44,180,1167,SG,66,ORL,360,128,141,570,280
123,33,135,9,146,325,118,Randy,63,54,69,40,Foye,1284,9,99,357,SG,35,BRK,203,67,80,122,51
124,26,335,6,139,404,163,Tim,129,98,65,35,Frazier,1525,34,133,464,PG,56,NOP,128,40,101,276,123
125,33,45,37,253,520,238,Channing,74,63,74,15,Frye,1398,37,138,676,C,33,CLE,335,137,53,185,101
126,28,135,15,286,750,335,Danilo,387,349,63,63,Gallinari,2134,39,93,1145,SF,40,DEN,324,126,82,426,209
127,23,0,0,6,7,0,Patricio,0,0,5,0,Garino,43,1,4,0,SG,0,ORL,5,0,3,2,0
128,32,338,99,404,1160,532,Marc,332,278,74,74,Gasol,2531,60,171,1446,C,67,MEM,268,104,166,892,428
129,36,150,70,394,604,303,Pau,184,130,64,39,Gasol,1627,107,110,792,C,24,SAS,104,56,81,500,247
130,30,83,26,155,442,201,Rudy,138,118,30,30,Gay,1013,35,79,562,SF,44,SAC,113,42,74,329,159
131,24,2,0,1,10,1,Michael,2,2,9,0,Gbinije,32,2,2,4,SG,0,DET,4,0,0,6,1
132,29,6,1,11,14,3,Alonzo,9,5,13,0,Gee,89,4,14,11,SF,5,DEN,3,0,4,11,3
133,26,251,27,434,1348,622,Paul,374,336,75,75,George,2689,58,206,1775,SF,119,IND,496,195,220,852,427
134,22,3,0,8,7,2,Marcus,10,9,5,0,Georges-Hunt,48,1,5,14,SG,1,ORL,2,1,2,5,1
135,29,26,0,21,95,35,Jonathan,29,21,17,0,Gibson,231,1,21,106,PG,8,DAL,45,15,21,50,20
136,39,183,16,129,439,171,Manu,107,86,69,0,Ginobili,1291,28,119,517,SG,82,SAS,227,89,96,212,82
137,24,97,214,721,625,413,Rudy,476,311,81,81,Gobert,2744,314,246,1137,C,49,UTA,1,0,147,624,413
138,21,150,40,289,865,393,Aaron,217,156,80,72,Gordon,2298,116,172,1019,SF,65,ORL,267,77,89,598,316
139,28,188,41,172,1016,412,Eric,175,147,75,15,Gordon,2323,29,150,1217,SG,48,HOU,661,246,121,355,166
140,32,121,61,611,674,390,Marcin,159,103,82,82,Gortat,2556,238,213,883,C,40,WAS,2,0,119,672,390
141,23,6,1,17,40,19,Treveon,15,10,27,1,Graham,189,5,18,57,SG,6,CHO,15,9,3,25,10
142,24,121,8,94,301,128,Jerian,73,65,63,28,Grant,1028,17,93,370,PG,47,CHI,134,49,44,167,79
143,29,124,57,193,449,176,Danny,32,27,68,68,Green,1807,31,120,497,SG,70,SAS,311,118,76,138,58
144,26,533,106,501,650,272,Draymond,213,151,76,76,Green,2471,98,217,776,PF,154,GSW,263,81,184,387,191
145,31,33,7,68,232,95,Gerald,41,33,47,0,Green,538,16,48,262,SF,9,BOS,111,39,25,121,56
146,26,84,34,377,500,250,JaMychal,167,134,77,75,Green,2101,167,248,689,PF,47,MEM,145,55,94,355,195
147,30,81,13,175,558,220,Jeff,168,145,69,11,Green,1534,39,103,638,PF,37,ORL,193,53,75,365,167
148,27,300,22,385,971,479,Blake,421,320,61,61,Griffin,2076,112,157,1316,PF,57,LAC,113,38,142,858,441
149,26,55,43,191,379,174,Justin,52,39,64,7,Hamilton,1177,71,91,442,C,29,BRK,180,55,43,199,119
